Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status
LP001744,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP001749,Male,Yes,0,Graduate,No,1,Semiurban,medium,Y
LP001750,Male,Yes,0,Graduate,No,1,Semiurban,medium,Y
LP001751,Male,Yes,0,Graduate,No,1,Rural,low,N
LP001758,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP001761,Male,No,0,Graduate,Yes,1,Rural,medium,Y
LP001765,Male,Yes,1,Graduate,No,1,Semiurban,low,Y
LP001770,Male,No,0,Not Graduate,No,1,Rural,low,Y
LP001776,Female,No,0,Graduate,No,1,Semiurban,medium,Y
LP001778,Male,Yes,1,Graduate,No,1,Semiurban,low,Y
LP001784,Male,Yes,1,Graduate,No,1,Rural,medium,Y
LP001790,Female,No,1,Graduate,No,1,Rural,low,Y
LP001792,Male,Yes,1,Graduate,No,1,Semiurban,low,Y
LP001798,Male,Yes,2,Graduate,No,1,Rural,medium,Y
LP001800,Male,Yes,1,Not Graduate,No,1,Urban,low,N
LP001806,Male,No,0,Graduate,No,1,Urban,low,Y
LP001807,Male,Yes,2,Graduate,Yes,1,Rural,medium,Y
LP001811,Male,Yes,0,Not Graduate,No,1,Semiurban,low,Y
LP001813,Male,No,0,Graduate,Yes,1,Urban,medium,N
LP001814,Male,Yes,2,Graduate,No,1,Urban,medium,Y
LP001819,Male,Yes,1,Not Graduate,No,1,Urban,medium,Y
LP001824,Male,Yes,1,Graduate,No,1,Semiurban,low,Y
LP001825,Male,Yes,0,Graduate,No,1,Urban,low,Y
LP001835,Male,Yes,0,Not Graduate,No,0,Semiurban,low,N
LP001836,Female,No,2,Graduate,No,1,Urban,low,N
LP001841,Male,No,0,Not Graduate,Yes,1,Rural,low,Y
LP001843,Male,Yes,1,Not Graduate,No,1,Semiurban,low,Y
LP001844,Male,No,0,Graduate,Yes,0,Urban,high,N
LP001846,Female,No,3+,Graduate,No,1,Rural,low,Y
LP001849,Male,No,0,Not Graduate,No,0,Rural,medium,N
LP001854,Male,Yes,3+,Graduate,No,1,Urban,medium,N
LP001859,Male,Yes,0,Graduate,No,1,Rural,high,N
LP001868,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP001870,Female,No,1,Graduate,No,1,Semiurban,low,N
LP001871,Female,No,0,Graduate,No,1,Rural,medium,Y
LP001872,Male,No,0,Graduate,Yes,1,Semiurban,medium,Y
LP001875,Male,No,0,Graduate,No,1,Rural,medium,Y
LP001877,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP001882,Male,Yes,3+,Graduate,No,0,Urban,medium,Y
LP001884,Female,No,1,Graduate,No,1,Urban,low,Y
LP001888,Female,No,0,Graduate,No,1,Urban,low,Y
LP001891,Male,Yes,0,Graduate,No,1,Urban,high,Y
LP001892,Male,No,0,Graduate,No,1,Rural,low,Y
LP001894,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001896,Male,Yes,2,Graduate,No,1,Semiurban,low,Y
LP001900,Male,Yes,1,Graduate,No,1,Semiurban,low,Y
LP001903,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001904,Male,Yes,0,Graduate,No,1,Urban,low,Y
LP001907,Male,Yes,0,Graduate,No,1,Semiurban,high,Y
LP001910,Male,No,1,Not Graduate,Yes,0,Urban,medium,N
LP001914,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001915,Male,Yes,2,Graduate,No,1,Urban,low,Y
LP001917,Female,No,0,Graduate,No,1,Urban,low,Y
LP001922,Male,Yes,0,Graduate,No,1,Rural,high,N
LP001924,Male,No,0,Graduate,No,1,Rural,low,Y
LP001925,Female,No,0,Graduate,Yes,1,Semiurban,low,N
LP001926,Male,Yes,0,Graduate,No,1,Rural,low,Y
LP001931,Female,No,0,Graduate,No,1,Semiurban,medium,Y
LP001935,Male,No,0,Graduate,No,1,Rural,medium,Y
LP001936,Male,Yes,0,Graduate,No,1,Rural,low,Y
LP001938,Male,Yes,2,Graduate,No,0,Semiurban,medium,N
LP001940,Male,Yes,2,Graduate,No,1,Urban,low,Y
LP001947,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
