Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status
LP001953,Male,Yes,1,Graduate,No,1,Semiurban,medium,Y
LP001954,Female,Yes,1,Graduate,No,1,Urban,medium,Y
LP001955,Female,No,0,Graduate,No,1,Rural,medium,N
LP001963,Male,Yes,1,Graduate,No,1,Urban,low,N
LP001964,Male,Yes,0,Not Graduate,No,0,Urban,low,N
LP001974,Female,No,0,Graduate,No,1,Rural,medium,Y
LP001977,Male,Yes,1,Graduate,No,1,Urban,low,Y
LP001978,Male,No,0,Graduate,No,1,Rural,medium,Y
LP001990,Male,No,0,Not Graduate,No,1,Urban,low,N
LP001993,Female,No,0,Graduate,No,1,Rural,low,Y
LP001994,Female,No,0,Graduate,No,0,Urban,low,N
LP001996,Male,No,0,Graduate,No,1,Rural,high,N
LP002002,Female,No,0,Graduate,No,1,Semiurban,low,Y
LP002004,Male,No,0,Not Graduate,No,1,Semiurban,low,Y
LP002006,Female,No,0,Graduate,No,1,Rural,low,Y
LP002031,Male,Yes,1,Not Graduate,No,1,Urban,low,Y
LP002035,Male,Yes,2,Graduate,No,1,Semiurban,low,Y
LP002050,Male,Yes,1,Graduate,Yes,1,Rural,high,N
LP002051,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP002053,Male,Yes,3+,Graduate,No,1,Semiurban,medium,Y
LP002054,Male,Yes,2,Not Graduate,No,1,Rural,low,Y
LP002065,Male,Yes,3+,Graduate,No,1,Rural,high,Y
LP002067,Male,Yes,1,Graduate,Yes,0,Rural,medium,N
LP002068,Male,No,0,Graduate,No,0,Rural,medium,Y
LP002082,Male,Yes,0,Graduate,Yes,1,Semiurban,medium,Y
LP002086,Female,Yes,0,Graduate,No,1,Urban,medium,N
LP002087,Female,No,0,Graduate,No,1,Urban,low,Y
LP002097,Male,No,1,Graduate,No,1,Urban,medium,Y
LP002098,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP002112,Male,Yes,2,Graduate,Yes,1,Rural,low,Y
LP002113,Female,No,3+,Not Graduate,No,0,Urban,low,N
LP002114,Female,No,0,Graduate,No,1,Semiurban,medium,Y
LP002115,Male,Yes,3+,Not Graduate,No,1,Rural,low,N
LP002116,Female,No,0,Graduate,No,1,Rural,low,N
LP002119,Male,Yes,1,Not Graduate,No,1,Urban,medium,Y
LP002126,Male,Yes,3+,Not Graduate,No,1,Semiurban,low,Y
LP002129,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP002131,Male,Yes,2,Not Graduate,No,1,Urban,low,Y
LP002138,Male,Yes,0,Graduate,No,1,Rural,low,Y
LP002139,Male,Yes,0,Graduate,No,1,Semiurban,medium,Y
LP002140,Male,No,0,Graduate,No,1,Rural,medium,N
LP002141,Male,Yes,3+,Graduate,No,1,Rural,low,Y
LP002142,Female,Yes,0,Graduate,Yes,0,Rural,medium,N
LP002143,Female,Yes,0,Graduate,No,1,Semiurban,low,Y
LP002149,Male,Yes,2,Graduate,No,1,Rural,medium,Y
LP002151,Male,Yes,1,Graduate,No,1,Urban,low,N
LP002158,Male,Yes,0,Not Graduate,No,0,Urban,low,N
LP002160,Male,Yes,3+,Graduate,No,1,Semiurban,medium,Y
LP002161,Female,No,1,Graduate,No,1,Semiurban,medium,N
LP002170,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP002175,Male,Yes,0,Graduate,No,1,Urban,medium,Y
LP002180,Male,No,0,Graduate,Yes,1,Rural,medium,Y
LP002181,Male,No,0,Not Graduate,No,1,Rural,medium,N
LP002187,Male,No,0,Graduate,No,1,Semiurban,low,N
LP002188,Male,No,0,Graduate,No,0,Rural,medium,N
LP002190,Male,Yes,1,Graduate,No,1,Semiurban,medium,Y
LP002191,Male,Yes,0,Graduate,No,1,Rural,high,N
LP002194,Female,No,0,Graduate,Yes,1,Semiurban,high,Y
LP002197,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP002201,Male,Yes,2,Graduate,Yes,1,Rural,medium,Y
LP002205,Male,No,1,Graduate,No,0,Urban,low,N
LP002211,Male,Yes,0,Graduate,No,1,Urban,medium,Y
LP002219,Male,Yes,3+,Graduate,No,1,Rural,medium,Y
