Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status
LP001245,Male,Yes,2,Not Graduate,Yes,1,Semiurban,low,Y
LP001248,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP001250,Male,Yes,3+,Not Graduate,No,0,Semiurban,medium,N
LP001253,Male,Yes,3+,Graduate,Yes,1,Semiurban,medium,Y
LP001255,Male,No,0,Graduate,No,1,Urban,low,N
LP001256,Male,No,0,Graduate,No,1,Urban,low,N
LP001259,Male,Yes,1,Graduate,Yes,1,Urban,low,N
LP001263,Male,Yes,3+,Graduate,No,0,Semiurban,low,N
LP001265,Female,No,0,Graduate,No,1,Semiurban,low,Y
LP001266,Male,Yes,1,Graduate,Yes,1,Semiurban,low,Y
LP001267,Female,Yes,2,Graduate,No,1,Urban,low,N
LP001275,Male,Yes,1,Graduate,No,1,Urban,low,Y
LP001279,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP001282,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001289,Male,No,0,Graduate,No,1,Urban,medium,Y
LP001310,Male,Yes,0,Graduate,No,1,Semiurban,medium,Y
LP001316,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001318,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP001319,Male,Yes,2,Not Graduate,No,1,Urban,low,Y
LP001322,Male,No,0,Graduate,No,1,Semiurban,medium,Y
LP001325,Male,No,0,Not Graduate,No,1,Semiurban,low,Y
LP001327,Female,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001333,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001334,Male,Yes,0,Not Graduate,No,1,Semiurban,medium,Y
LP001343,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001345,Male,Yes,2,Not Graduate,No,1,Urban,medium,Y
LP001349,Male,No,0,Graduate,No,1,Semiurban,medium,Y
LP001356,Male,Yes,0,Graduate,No,1,Semiurban,medium,Y
LP001367,Male,Yes,1,Graduate,No,1,Urban,low,Y
LP001369,Male,Yes,2,Graduate,No,1,Urban,high,Y
LP001379,Male,Yes,2,Graduate,No,0,Urban,low,N
LP001384,Male,Yes,3+,Not Graduate,No,1,Semiurban,low,Y
LP001385,Male,No,0,Graduate,No,1,Urban,medium,Y
LP001391,Male,Yes,0,Not Graduate,No,0,Rural,low,N
LP001392,Female,No,1,Graduate,Yes,1,Semiurban,medium,Y
LP001401,Male,Yes,1,Graduate,No,1,Rural,high,Y
LP001404,Female,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001421,Male,Yes,0,Graduate,No,1,Rural,medium,N
LP001422,Female,No,0,Graduate,No,1,Urban,high,Y
LP001430,Female,No,0,Graduate,No,1,Semiurban,medium,Y
LP001431,Female,No,0,Graduate,No,0,Semiurban,low,Y
LP001432,Male,Yes,2,Graduate,No,1,Semiurban,low,Y
LP001439,Male,Yes,0,Not Graduate,No,1,Rural,medium,Y
LP001449,Male,No,0,Graduate,No,1,Rural,low,Y
LP001451,Male,Yes,1,Graduate,Yes,0,Urban,high,N
LP001473,Male,No,0,Graduate,No,1,Urban,low,Y
LP001478,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP001482,Male,Yes,0,Graduate,Yes,1,Semiurban,low,Y
LP001487,Male,No,0,Graduate,No,1,Semiurban,medium,Y
LP001488,Male,Yes,3+,Graduate,No,1,Semiurban,medium,N
LP001489,Female,Yes,0,Graduate,No,1,Rural,medium,N
LP001491,Male,Yes,2,Graduate,Yes,1,Urban,low,Y
LP001492,Male,No,0,Graduate,No,0,Semiurban,high,N
LP001493,Male,Yes,2,Not Graduate,No,1,Rural,medium,N
LP001497,Male,Yes,2,Graduate,No,1,Rural,medium,N
LP001498,Male,No,0,Graduate,No,1,Urban,medium,Y
LP001504,Male,No,0,Graduate,Yes,1,Semiurban,medium,Y
LP001507,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001508,Male,Yes,2,Graduate,No,1,Urban,high,Y
LP001514,Female,Yes,0,Graduate,No,1,Semiurban,low,Y
LP001516,Female,Yes,2,Graduate,No,1,Urban,high,Y
LP001518,Male,Yes,1,Graduate,No,1,Urban,low,Y
LP001519,Female,No,0,Graduate,No,1,Rural,high,N
