Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status
LP002448,Male,Yes,0,Graduate,No,0,Rural,low,N
LP002449,Male,Yes,0,Graduate,No,0,Rural,low,Y
LP002453,Male,No,0,Graduate,Yes,1,Semiurban,medium,Y
LP002455,Male,Yes,2,Graduate,No,1,Semiurban,low,Y
LP002459,Male,Yes,0,Graduate,No,1,Urban,medium,Y
LP002467,Male,Yes,0,Graduate,No,1,Urban,low,N
LP002472,Male,No,2,Graduate,No,1,Rural,medium,Y
LP002473,Male,Yes,0,Graduate,No,1,Semiurban,medium,N
LP002484,Male,Yes,3+,Graduate,No,1,Urban,medium,Y
LP002487,Male,Yes,0,Graduate,No,1,Rural,low,Y
LP002493,Male,No,0,Graduate,No,0,Semiurban,medium,N
LP002494,Male,No,0,Graduate,No,1,Rural,medium,Y
LP002500,Male,Yes,3+,Not Graduate,No,0,Urban,low,N
LP002505,Male,Yes,0,Graduate,No,1,Urban,medium,N
LP002515,Male,Yes,1,Graduate,Yes,1,Semiurban,low,Y
LP002517,Male,Yes,1,Not Graduate,No,0,Rural,low,N
LP002519,Male,Yes,3+,Graduate,No,1,Semiurban,medium,Y
LP002524,Male,No,2,Graduate,No,1,Rural,medium,Y
LP002527,Male,Yes,2,Graduate,Yes,1,Rural,high,Y
LP002529,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP002531,Male,Yes,1,Graduate,Yes,1,Semiurban,high,Y
LP002533,Male,Yes,2,Graduate,No,1,Urban,low,N
LP002534,Female,No,0,Not Graduate,No,1,Rural,medium,Y
LP002536,Male,Yes,3+,Not Graduate,No,1,Rural,low,Y
LP002537,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP002541,Male,Yes,0,Graduate,No,1,Semiurban,high,Y
LP002543,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP002544,Male,Yes,1,Not Graduate,No,1,Rural,low,Y
LP002545,Male,No,2,Graduate,No,0,Rural,low,N
LP002547,Male,Yes,1,Graduate,No,1,Urban,high,N
LP002555,Male,Yes,2,Graduate,Yes,1,Semiurban,medium,Y
LP002556,Male,No,0,Graduate,No,1,Urban,low,N
LP002571,Male,No,0,Not Graduate,No,1,Rural,low,Y
LP002582,Female,No,0,Not Graduate,Yes,1,Semiurban,high,Y
LP002585,Male,Yes,0,Graduate,No,0,Rural,low,N
LP002586,Female,Yes,1,Graduate,No,1,Semiurban,low,Y
LP002587,Male,Yes,0,Not Graduate,No,1,Rural,low,Y
LP002600,Male,Yes,1,Graduate,Yes,1,Semiurban,low,Y
LP002602,Male,No,0,Graduate,No,0,Rural,medium,N
LP002603,Female,No,0,Graduate,No,1,Rural,low,Y
LP002606,Female,No,0,Graduate,No,1,Semiurban,low,Y
LP002615,Male,Yes,2,Graduate,No,1,Semiurban,medium,Y
LP002619,Male,Yes,0,Not Graduate,No,1,Semiurban,low,Y
LP002622,Male,Yes,2,Graduate,No,1,Rural,low,Y
LP002626,Male,Yes,0,Graduate,Yes,1,Urban,low,Y
LP002634,Female,No,1,Graduate,No,1,Urban,high,Y
LP002637,Male,No,0,Not Graduate,No,1,Rural,low,N
LP002640,Male,Yes,1,Graduate,No,1,Semiurban,medium,Y
LP002643,Male,Yes,2,Graduate,No,1,Urban,low,Y
LP002648,Male,Yes,0,Graduate,No,1,Semiurban,low,N
LP002652,Male,No,0,Graduate,No,1,Rural,medium,N
LP002659,Male,Yes,3+,Graduate,No,1,Rural,low,Y
LP002670,Female,Yes,2,Graduate,No,1,Semiurban,low,Y
LP002683,Male,No,0,Graduate,No,1,Semiurban,medium,N
LP002684,Female,No,0,Not Graduate,No,1,Rural,low,N
LP002689,Male,Yes,2,Not Graduate,No,1,Semiurban,low,Y
LP002690,Male,No,0,Graduate,No,1,Semiurban,low,Y
LP002692,Male,Yes,3+,Graduate,Yes,1,Rural,medium,Y
LP002693,Male,Yes,2,Graduate,Yes,1,Rural,medium,Y
LP002697,Male,No,0,Graduate,No,1,Semiurban,medium,N
LP002699,Male,Yes,2,Graduate,Yes,1,Rural,high,Y
LP002705,Male,Yes,0,Graduate,No,1,Semiurban,low,Y
LP002706,Male,Yes,1,Not Graduate,No,0,Semiurban,medium,Y
